10:57:23.175 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.happytech.electronic.store.ElectronicStoreApplicationTests], using SpringBootContextLoader
14:23:32.900 INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
14:23:34.444 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
14:23:34.556 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 96 ms. Found 3 JPA repository interfaces.
14:23:35.571 INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
14:23:35.690 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
14:23:36.002 INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
14:23:36.340 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
14:23:37.020 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
14:23:37.048 INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
14:23:38.474 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
14:23:38.486 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
14:23:39.863 WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
14:23:40.905 INFO  c.h.e.s.ElectronicStoreApplicationTests - Started ElectronicStoreApplicationTests in 8.52 seconds (JVM running for 11.305)
14:23:41.271 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
14:23:41.277 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
14:23:41.302 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
14:54:47.852 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.happytech.electronic.store.service.UserServiceTest], using SpringBootContextLoader
14:54:47.878 INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.happytech.electronic.store.service.UserServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
14:54:47.879 INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.happytech.electronic.store.service.UserServiceTest]: UserServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
14:54:48.152 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.happytech.electronic.store.ElectronicStoreApplication for test class com.happytech.electronic.store.service.UserServiceTest
14:54:48.321 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
14:54:48.362 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@37efd131, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7e7b159b, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@7e5d9a50, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@60957c0f, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@293a5f75, org.springframework.test.context.support.DirtiesContextTestExecutionListener@fcb4004, org.springframework.test.context.transaction.TransactionalTestExecutionListener@1dd6d4b7, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@56e8b606, org.springframework.test.context.event.EventPublishingTestExecutionListener@2dd29a59, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@784c3487, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@53142455, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@40dff0b7, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@7966baa7, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@60975100, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@1253e7cb]
14:54:49.006 INFO  c.h.e.store.service.UserServiceTest - Starting UserServiceTest using Java 19.0.1 on DELL with PID 7580 (started by patil in D:\Intellige_workspace\Electronic store\Electronic-store)
14:54:49.008 INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
14:54:49.008 INFO  c.h.e.store.service.UserServiceTest - The following 1 profile is active: "dev"
14:54:50.475 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
14:54:50.595 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 105 ms. Found 3 JPA repository interfaces.
14:54:52.563 INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
14:54:52.672 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
14:54:52.749 INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
14:54:53.035 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
14:54:53.757 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
14:54:53.786 INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
14:54:54.766 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
14:54:54.779 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
14:54:56.001 WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
14:54:56.951 INFO  c.h.e.store.service.UserServiceTest - Started UserServiceTest in 8.472 seconds (JVM running for 11.367)
14:54:57.111 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
14:54:57.115 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
14:54:57.132 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
14:56:20.235 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.happytech.electronic.store.service.UserServiceTest], using SpringBootContextLoader
14:56:20.243 INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.happytech.electronic.store.service.UserServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
14:56:20.244 INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.happytech.electronic.store.service.UserServiceTest]: UserServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
14:56:20.430 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.happytech.electronic.store.ElectronicStoreApplication for test class com.happytech.electronic.store.service.UserServiceTest
14:56:20.577 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
14:56:20.596 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@5cdd09b1, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@8c11eee, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@7e8dcdaa, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@681a8b4e, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@5cbe877d, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5c08c46a, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4cf8b2dc, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@708400f6, org.springframework.test.context.event.EventPublishingTestExecutionListener@5829e4f4, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@4218500f, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@4bff64c2, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1b2c4efb, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@c35172e, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@c2db68f, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@3cc41abc]
14:56:21.110 INFO  c.h.e.store.service.UserServiceTest - Starting UserServiceTest using Java 19.0.1 on DELL with PID 15008 (started by patil in D:\Intellige_workspace\Electronic store\Electronic-store)
14:56:21.112 INFO  c.h.e.store.service.UserServiceTest - The following 1 profile is active: "dev"
14:56:21.125 INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
14:56:22.324 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
14:56:22.423 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 88 ms. Found 3 JPA repository interfaces.
14:56:24.301 INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
14:56:24.381 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
14:56:24.447 INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
14:56:24.716 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
14:56:25.215 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
14:56:25.238 INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
14:56:26.469 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
14:56:26.487 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
14:56:28.680 WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
14:56:30.324 INFO  c.h.e.store.service.UserServiceTest - Started UserServiceTest in 9.678 seconds (JVM running for 11.74)
14:56:30.599 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
14:56:30.611 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
14:56:30.640 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
15:00:26.498 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.happytech.electronic.store.service.UserServiceTest], using SpringBootContextLoader
15:00:26.522 INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.happytech.electronic.store.service.UserServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
15:00:26.523 INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.happytech.electronic.store.service.UserServiceTest]: UserServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
15:00:26.767 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.happytech.electronic.store.ElectronicStoreApplication for test class com.happytech.electronic.store.service.UserServiceTest
15:00:26.929 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
15:00:26.968 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@2dd29a59, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@784c3487, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@53142455, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@40dff0b7, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@7966baa7, org.springframework.test.context.support.DirtiesContextTestExecutionListener@60975100, org.springframework.test.context.transaction.TransactionalTestExecutionListener@1253e7cb, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2d36e77e, org.springframework.test.context.event.EventPublishingTestExecutionListener@61c9c3fd, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@3b0c9195, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@366c4480, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2c7b5824, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@302a07d, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5cdd09b1, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@8c11eee]
15:00:27.563 INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
15:00:27.570 INFO  c.h.e.store.service.UserServiceTest - Starting UserServiceTest using Java 19.0.1 on DELL with PID 28976 (started by patil in D:\Intellige_workspace\Electronic store\Electronic-store)
15:00:27.572 INFO  c.h.e.store.service.UserServiceTest - The following 1 profile is active: "dev"
15:00:28.809 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
15:00:28.936 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 109 ms. Found 3 JPA repository interfaces.
15:00:30.663 INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
15:00:30.780 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
15:00:30.845 INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
15:00:31.322 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
15:00:31.969 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
15:00:31.997 INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
15:00:33.098 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
15:00:33.111 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
15:00:35.562 WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
15:00:36.647 INFO  c.h.e.store.service.UserServiceTest - Started UserServiceTest in 9.59 seconds (JVM running for 12.08)
15:00:36.825 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
